Тар произведениеду сонинг илмакта дворянин Владимир Дубровский бисин.	Героем этого произведения является молодой дворянин Владимир Дубровский.	1,00
Баян матакин — помещик нунганнгиван аминман дядангит овкачан сипкудяна, улэккитчэнэ.	Отца его разорил при помощи подкупа и обмана богатый сосед-помещик.	1,00
Омолгин, аминдуливи тыкундями, умукэнду мэннгилнунми крестьянисалнунми баясалдула помещикилдула эмэнчэнгкин, нунгардуктын идэгэлвэтын гачингкин, дядангилду бунгкин.	Сын, разгневавшись за отца, вместе со своими крестьянами нападал на богатых помещиков, отнимал у них добро и отдавал бедным.	1,00
Пушкин бидечэдукин чагила учэлэ дукуласэл (писателил) произведениелдувэр энгкитын крестьянисалва тэдет ичэвкэнэ.	Писатели до Пушкина неверно изображали крестьян в своих произведениях.	1,00
 Пушкин русскай крестьянин меванман элэкэсиптыт ичэвкэчэн, нунган илэмэн бисивэн, энгэсивэн, тадук эденгэт аяралдыра булэнмэ тыкундяриван ичэвкэчэн.	Пушкин первый показал большое сердце русского крестьянина, его человечность, его героизм и вместе с тем — его непримиримую ненависть к врагу.	1,00
Тавин Архип — Дубровский тэдеткун бэлэмнин, усадьбаван (бикитвэн) иларан, таду унгкилдымэткит чиновникилван лургиврэн.	Кузнец Архип, верный помощник Дубровского, поджигает усадьбу, обрекая на гибель продажных судебных чиновников.	1,00
 Эми-вал Архип, тогоду хакувчавэ кошкава ичэксэ, бунитви энэ нгэлэттэ, бадарала нгавунан, кошкава бунидукин айран.	Но, когда Архип видит, что в огне погибает кошка, он, рискуя собственной жизнью, бросается в огонь и спасает ее.	1,00
Пушкин бидечэдукин чагила писателил мэннгилдувэр произведениелдувэр дворянисалва, помещикилва кэнеденгкитын.	Писатели до Пушкина возвеличивали дворян и помещиков в своих произведениях.	1,00
 Пушкин элэкэсиптыт ичэвкэчэн дворянинил-помещикил, тэдеду авадыл бисивэтын.	Пушкин первый показал, что представляли собою дворяне-помещики на самом деле.	1,00
Баян дворянин Троекуров мэннгиви гиркиви дёгочиливканэн, нунганман, дялви сокордолон, бунилэн исивран.	Богатый дворянин Троекуров разоряет своего бедного друга Дубровского, доводит его до сумасшествия и смерти.	1,00
Троекуров каравсия ачинди мэннгилви крестьянисалви тырэтчэрэн, матакилви кэсэгитчэрэн.	Троекуров безнаказанно угнетает своих крестьян, издевается над бедными соседями.	1,00
 Нунган мэннгимэтвихунатви сингниндэви эчэ сарэ, нунганман эсидун аявдерэ илэду мирэнмукэнэн.	Он не знает жалости даже к родной дочери и заставляет ее выйти замуж за нелюбимого человека.	1,00
Эргэчир произведениел, "Дубровскийгачир" тэгэду тэдевэ ичэвкэндечэтын, булэсэлнунмэр нгорчандула эридечэтын.	Такие произведения, как "Дубровский", раскрывали глаза народу и призывали его к борьбе против угнетателей.	1,00
Хэгдыткумэмэ русскай поэт мэннгиви тэгэви аявдечан, туги-дэ нунгандун упкат национальностил хавалдярилтын интересилтыл тамурал бичэтын.	Великий русский поэт любил не только свой народ, ему были дороги интересы трудящихся всех национальностей.	1,00
Пушкин дюлэски ичэдечэн, нунганнгилин произведениелин упкатту хавалдярилду савулдянгавэтын, нунганнгин гэрбин аявуври одянгаван.	Пушкин предвидел, что его произведения будут известны всем трудящимся, что имя его будет любимым.	1,00
"Минэ упкаттун хэгдыду Русьту салденгатын,	 Нунгандун бидери авады-да турэн минэ гэрбитчэнгэн: Славянил хэгдыкэтчэрил хутэлтын, финнил, эситкэн гэлун тунгус, тадук степил (агласэл) гиркитын калмык.""."	Слух обо мне пройдет по всей Руси великой, И назовет меня всяк сущий в ней язык, И гордый внук славян, и финн, и ныне дикой тунгуз, и друг степей калмык".	1,00
Туги Пушкин мэнми дукудячан 1836 аннганиду стихотворениедуви, "Памятник" гэрбичиду.	Пророчески писал о себе Пушкин в 1836 г. в знаменитом стихотворении "Памятник".	1,00
Тэли Пушкин эрэ элэ дялдатчэнга бичэн; эситкэн эр тэдеду овча.	Это время, о котором Пушкин мог только мечтать, сбылось.	1,00
Октябрьнги социалистты революция рабстводу, дёгорду тэгэмэрды Россия бичэ тэгэлин бидечэдутын муданматын эмэвчэ.	Великая Октябрьская социалистическая революция положила конец рабству, нищете и вымиранию народов бывшей царской России.	1,00
Тар революция Советты дуннэ кэтэ национальностичива населениева умунупкичэ умунтэгинду семьяду.	Эта революция сплотила многонациональное население советской страны в единую дружную семью.	1,00
Пушкин гуннэн тэдеду овча.	Предсказание Пушкина сбылось.	1,00
Нунганман, аявувривэ русскай тэгэ омолгиван, аявдерэ Советты упкат союз тэгэлин: русскаил-дэ, украинецил-да, узбекил-дэ, якол-да, хантыл-да, эвэнкил-дэ, нанаил-да.	Его, великого сына русского народа, почитают и любят все народы Советского Союза: и русские, и украинцы, и узбеки, и якуты, и эвенки, и ханты, и нанайцы.	1,00
Хэгды советты союз свободнаил, урэчил правочил членилин очалавэр, эрил тэгэл, мэннгитвэр турэндивэр гениальнай поэт произведениелван (дукуналван) тангдянгал очал.	Став свободными и полноправными членами великого Советского Союза, они получили возможность читать произведения гениального поэта на своем родном языке.	1,00
1937 аннганиду, мирэ (февральду) бегадун митнги хэгды социалистты родинат свободнаил, кутучил тэгэлин Пушкин бунэдукин (мэкчэрэнэдукин) 100-аннганива самэлкичатын, торжественнаилва собраниелва, митингилвэ, тангирва, спектаклилва одянал.	В феврале 1937 г. свободные и счастливые народы нашей великой социалистической родины отметили 100-летнюю годовщину со дня смерти Пушкина торжественными собраниями, митингами, чтениями, спектаклями.	1,00
Нунганнгидин гэрбидин кэтэ клубил, тангкичил, библиотекал, городыл улицалтын, городыл гэрбивчэл.	Его именем названы многие клубы, читальни, библиотеки, улицы городов и города. .	1,00
Миллионил Пушкин дукуналин печатьтук ювувчэл.	Произведения поэта изданы в миллионах экземпляров.	1,00
Кэтэ аннганил амаски, умукэнду авдудуви учэлэпты русскай помещик Кирила Петрович Троекуров бидечэн.	Несколько лет тому назад в одном из своих поместий жил старинный русской барин, Кирила Петрович Троекуров.	1,00
Нунганнгиван баянман, савувдеривэ балдыван губернияду упкаттун сангкитын.	Его богатство, знатный род знали во всей губернии {Его богатство, знатный род и связи давали ему большой вес в губернии в губерниях, где находилось его имение}.	1,00
Нунганнгилин матакилин, баянман садеми, урунчэденэл нунгандун бэлэмунгкитын, гэлэнэлин онгкитын.	Его соседи, зная его богатство, рады были угождать малейшим его прихотям {Соседи рады были угождать малейшим его прихотям}.	1,00
Гэрбивэн долдыми, губерниядыл хэгдыгулин нгэлэлингкитын.	губернские чиновники трепетали при его имени.	1,00
Кирила Петровичту эр упкат со ая бингкин.	Кириле Петровичу всё это было очень хорошо {Кирила Петрович принимал знаки подобострастия как надлежащую дань}.	1,00
Нунганнгидун гулэдун окин-да матал дялупчал бингкитын, эрил матал нунганман сэвденмукэнингкитын, нунганнунин сэвденденгкитын.	дом его всегда был полон гостями, эти гости желали его веселить, веселиться с ним {готовыми тешить его барскую праздность, разделяя шумные, а иногда и буйные его увеселения}.	1,00
Дюдыду бододу Кирила Петрович мэндиви упкатва илэ эрудылвэн ичэвкэтчэнгкин.	В домашнем быту Кирила Петрович выказывал все пороки человека необразованного.	1,00
Нунган энэ дяличи биси, савкача бичэн, упкат гэлэдерилин энэл олгачивдяра овдядатын.	Будучи неумен, он привык, что все его желания исполняются без того, чтобы им мешали {Избалованный всем, что только окружало его, он привык давать полную волю всем порывам пылкого своего нрава и всем затеям довольно ограниченного ума}.	1,00
Энгэси-вэл, манни-вал бими, нунган энгэни девчэдукви (билганэдукви) надалладу дюрэ-вэл энунингкин, долболтононитыкинду харукин бингкин.	Несмотря на то, что он был сильным и крепким {Несмотря на необыкновенную силу физических способностей}, он раза два в неделю страдал от обжорства и каждый вечер бывал навеселе.	1,00
Крестьянисалви, кэлумэлви сот болгичадянгкин.	С крестьянами и дворовыми обходился он строго и своенравно.	1,00
Троекуров окин-нун нгэнэктэденгкин, аракива умдянгкин, аят депчэнгкин, илэлвэ улэккингкин.	Троекуров постоянно ездил, пил вино, хорошо ел, проказничал [=обманывал людей] {Всегдашние занятия Троекурова состояли в разъездах около пространных его владений, в продолжительных пирах и в проказах}.	1,00
Окин-нун нунганнунин элэкэс ичэлдыдери илэ нунгандун улэккивунгкин.	Постоянно человек, недавно повстречавшийся с ним, становился жертвой его проказ [=бывал обычно им обманут].  {, ежедневно притом изобретаемых [проказ] и жертвою коих бывал обыкновенно какой-нибудь новый знакомец}.	1,00
Сарилинмал илэл туги-дэ улэккивунгкитын.	Знакомые люди тоже становились обычно жертвами его проказ [=бывали им обмануты] {хотя и старинные приятели не всегда их избегали}.	1,00
Элэ Андрей Гаврилович Дубровский энгкин улэккиврэ.	Только Андрей Гаврилович Дубровский не становился жертвой проказ [=не бывал обманут] {за исключением одного Андрея Гавриловича Дубровского}.	1,00
Дубровский отставкаду гвардия поручикин бичэн.	Сей Дубровский [был], отставной поручик гвардии.	1,00
Нунган Троекуровнги дагаткун матакин бичэн.	был ему [Троекурову] ближайшим соседом.	1,00
Нунганнгилин надандяр крестьянисалин бичэтын.	и владел семидесятью душами.	1,00
Троекуров баясалнун илэлнун салдыдедави савкача бичэн.	Троекуров [был], надменный в сношениях с людьми самого высшего звания.	1,00
Дубровский эсикин-мэл баян биси, дулумну бисикин-мэл, Троекуров нунганман аявденгкин.	{Троекуров}  уважал Дубровского, несмотря на его смиренное состояние.	1,00
Окин-мал нунгартын кусимнил бингэсивэр, гиркинэсэл бичэтын.	Некогда были они товарищами по службе,.	1,00
Троекуров аят садечан Дубровский энги мангичара бисивэн.	и Троекуров знал по опыту нетерпеливость и решительность его характера.	1,00
Тадук нунгартын гороло хуечилдычэтын.	Обстоятельства разлучили их надолго.	1,00
Дубровский дяданг очалави, военнайдук службадук ючэн, хуюкунду хэлэчэду урилэндуви билчэн.	Дубровский, став бедным, вышел с военной службы и поселился в своей маленькой оставшейся деревне {Дубровский, с расстроенным состоянием, принужден был выйти в отставку и поселиться в остальной своей деревне}.	1,00
Кирила Петрович, тылчэлэви, нунгандун бэлэмудечэн, эми-вал Дубровский бачан бэлэгэе гадями, дяданг бинэ эмэнмучэн, эчэн нгие-дэ долдычамура.	Кирила Петрович, узнав о том, предлагал ему свое покровительство, но Дубровский благодарил его и остался беден и независим.	1,00
Оки-вал аннганил илтэнчэлэтын, Троекуров отставкаду генерал аншеф гэрбичи бинэ, мэннгилэви бикиттулэви авдула эмэчэн.	Спустя несколько лет Троекуров, отставной генерал-аншеф, приехал в свое поместие.	1,00
Нунгартын урунчэл бинэл мэмэгилнунмэр ичэлдычэтын.	они свиделись и обрадовались друг другу.	1,00
Тариптыдук нунгартын тырганитыкинду бакалдыдянгкитын.	С тех пор они каждый день бывали вместе.	1,00
Кирила Петрович балдынадукви нгилэ-дэ энгкин нгэнэктэрэ, эситкэн холоктоло гиркилэви гулэчэн-дулэн эмэктэлчэ.	и Кирила Петрович, от роду не удостоивавший никого своим посещением, заезжал запросто в домишко своего старого товарища.	1,00
Хадылдун нунгарнгитын бодотын урэлды бичэн: дюктэ аяврилвар асилачатын, дюктэ амакан навусал очатын.	Кое-что в их бытии было сходным {Будучи ровесниками, рожденные в одном сословии, воспитанные одинаково, они сходствовали отчасти и в характерах и в наклонностях}: оба женились по любви, оба скоро овдовели{{, у обоих оставалось по ребенку}}. .	1,00
Дубровскийнги омолгин иргичивдечэн Петербургду, Кирила Петровичнги хунадин аминдуви иргичивдечэн.	{{В некоторых отношениях и судьба их была одинакова: }}Сын Дубровского воспитывался в Петербурге, дочь Кирилы Петровича росла в глазах родителя,.	1,00
Аминин кэтэрэкэкун Дубровскийтыки гунденгкин:.	и Троекуров часто говаривал Дубровскому:.	1,00
Долчаткэл бэе, Андрей Гаврилович: Володькас хоктоёви бододу бакаракин, би нунгандун Машави буденгэв, дюлакин-мал омолгис бисикин.	Слушай, брат, Андрей Гаврилович: коли в твоем Володьке будет путь, так отдам за него Машу; даром что он гол как сокол.	1,00
Андрей Гаврилович дылитви дингганадяна гунингкин туги:.	Андрей Гаврилович качал головою и отвечал обыкновенно:.	1,00
Эчэ, Кирила Петрович: миннги Володькав Мария Кириловнаду эденгэ эды биси.	Нет, Кирила Петрович: мой Володька не жених Марии Кириловне.	1,00
Омолгигачиндув, дядангду дворянинду, дядангья дворянкая асатканэ аятмар асилами, дюдуви сотку нюнгэ бидэви, эдэви баянду асичанду кэлумэ биси.	Бедному дворянину, каков он, лучше жениться на бедной дворяночке, да быть главою в доме, чем сделаться приказчиком избалованной бабенки.	1,00
Троекуров дядангнун матакнунми аят бидеривэн упкат кэнеденгкитын.	Все завидовали согласию, царствующему между надменным Троекуровым и бедным его соседом,.	1,00
Упкат ёндянгкитын (гайкадянгкитын) Дубровский, Кирила Петровичту девденэ, энэ нгэлэттэ дялви гундеривэн.	Все удивлялись, {и удивлялись смелости сего последнего}, когда Дубровский {он} за столом у Кирилы Петровича не боясь {прямо} высказывал свое мнение{{, не заботясь о том, противуречило ли оно мнениям хозяина}}.	1,00
Эми-вал аят бидеритын сукчавчан.	Нечаянный случай всё расстроил и переменил.	1,00
Умна, болони элэкэс олдяракин, Кирила Петрович бэюмэстэви итыгадячан.	Раз, в начале осени, Кирила Петрович собирался в отъезжее поле.	1,00
Матал нюнгэнун нгинакирва иргиткиттулэ (псарняла) сурурэ, тала туннгадук нямадилдук хэлэкэтмэр нгинакир нямаду аят бидечэтын.	Хозяин и гости пошли на псарный двор, где более пятисот гончих и борзых жили в довольстве и тепле{{, прославляя щедрость Кирилы Петровича на своем собачьем языке}}. .	1,00
Усэдерил нгинакир дяритын таду-да аиткит бичэн, таду нгинакирва аичимни Тимошка бичэн, таду-да укучэр хутэнгкичитын бичэн.	Тут же находился и лазарет для больных собак, под присмотром штаблекаря Тимошки, и отделение, где благородные суки ощенились и кормили своих щенят.	1,00
Кирила Петрович нгинакирва иргиткичитви хэгдыкэтчэнгкин.	Кирила Петрович хвастался своим пасрным двором {Кирила Петрович гордился сим прекрасным заведением}.	1,00
Матал эмэрэктын, кэнеденэ ичэвкэтчэнгкин, матангилин дюрдяра ичэтчэл бисиктын-мэл.	Когда приходили гости, он показывал, хвастаясь, хотя его гости уже осматривали двадцать раз {и никогда не упускал случая похвастаться оным перед своими гостями, из коих каждый осматривал его по крайней мере уже в двадцатый раз}.	1,00
Кирила Петрович маталнун нгинакирва иргиткиттули гиркуктадячан, нунгарнунтын гиркудячатын Тимошка, тадук нгинакирва иргичимнил.	Он расхаживал по псарне, окруженный своими гостями и сопровождаемый Тимошкой и главными псарями.	1,00
Кирила Петрович гиркудяна, хадылдутын нгинакир авдусалдутын илингкин, ханнгуктадяна нгинакир авгаралватын, хадылдун сарилви нгинакирва эрингкин, аят нунгарнунтын улгучэмэтчэнэ.	[Кирила Петрович, идя, ] останавливался пред некоторыми конурами, то расспрашивая о здоровий больных, то делая замечания более или менее строгие и справедливые, то подзывая к себе знакомых собак и ласково с ними разговаривая.	1,00
Матал мэрдувэр тангичангкитын кэнедедэвэр Кирила Петрович нгинакирва иргиткитвэн.	Гости почитали обязанностию восхищаться псарнею Кирилы Петровича.	1,00
элэ эмукин Дубровский симуладячан, хонирадячан.	Один Дубровский молчал и хмурился.	1,00
Нунган со бэюмэчимни бичэн.	Он был горячий охотник.	1,00
Нунган эчэн баян биси, тарит нунган элэ илана нгинакира улидедэви элэкинденгэ бичэн.	Он был небогат, мог кормить только трех [sic] собак {Его состояние позволяло ему держать только двух гончих и одну свору борзую}.	1,00
Нунган ичэтчэнэ нгинакир аява иргиткитвэтын, торгондукви албангкин мангичадями.	Он не мог удержаться от некоторой зависти при виде сего великолепного заведения.	1,00
Си аки, эда хонирадянни, миннги нгинакирва иркиткичив эчэ-гу ая биси? — Кирила Петрович ханнгуктаран нунгандукин.	Что же ты хмуришься, брат, — спросил его Кирила Петрович, — или псарня моя тебе не нравится?	1,00
Эчэ, — нунган гунэн тыкундяна, — иргиткичис аямама, — нгинакиргачиндус ая бодо, синнгилду илэнгилдус таргачин бодо бинэн-гу, энэн-гу.	Нет, — отвечал он сурово, — псарня чудная, — вряд людям вашим житье такое ж, как вашим собакам.	1,00
Иргичимнилдук умукэн тарит тыкуллан.	Один из псарей обиделся.	1,00
Бу бодовар эчэвун эрупчут тангичадяра, — нунган гунэн, — эксэривэ, нюнгэвэр кэнедерэв,—экун тэде, тар тэде, хадыдун дворянинду баянду бэеду, бикитви, усадьбави авадыт-та нгинакир авдундитын эмчэ эру биси дюгэтми.	Мы на свое житье, — сказал он,— благодаря бога и барина, не жалуемся; а что правда, то правда, иному и дворянину не худо бы променять усадьбу на любую здешнюю конурку.	1,00
Нунган тэли аивукиндымарит, няматмарит бидемчэ.	—ему было б и сытнее и теплее.	1,00
Кирила Петрович, кэлумэн туги гунэкин, эмнгут инектэллэн, матал-да хактанчэллэ, мэдэтчэнэл-вэл мэрдивэр инектэвдеривэр.	Кирила Петрович громко засмеялся при дерзком замечании своего холопа, а гости вослед за ним захохотали, хотя и чувствовали, что шутка псаря могла отнестися и к ним.	1,00
Дубровский хэпкэрэрэн, умукэмэтъе турэнэ эчэ гунэ.	Дубровский побледнел и не сказал ни слова.	1,00
Нгинакир иргиткиттуктын (псарнядук) маталнун мучукса, Кирила Петрович девулдэви тэгэрэн, тэли элэ мэдэрэн Дубровский ачин бисивэн.	Возвратясь с гостями со псарного двора, Кирила Петрович сел ужинать и тогда только, не видя Дубровского, хватился о нем.	1,00
Илэл гунэ Андрей Гаврилович дюлави суручэвэн.	Люди отвечали, что Андрей Гаврилович уехал домой.	1,00
Троекуров гунэн, бокондотын, тэлиннгэ мучувкандатын.	Троекуров велел тотчас его догнать и воротить непременно.	1,00
Дубровскийва бокончудяча кэлумэ амакан мучуран, нюнгэткиви гунэн, Андрей Гаврилович эденгэвэн мучура.	Слуга, поскакавший за ним, воротился, как еще сидели за столом, и доложил своему господину, что дескать Андрей Гаврилович не послушался и не хотел воротиться.	1,00
Кирила Петрович, аракидук хэкулчэ бинэ, тыкуллан, гевран тармалва кэлумэви унгнэн, Андрей Гавриловичтыки гундэн — нунган тэлиннгэ эсикин аннгэтнарэ Покровскоела, тэли Троекуров нунганнунин будэлэви тыкулилдыдянган.	Кирила Петрович, по обыкновению своему разгоряченный наливками, осердился и вторично послал того же слугу сказать Андрею Гавриловичу, что если он тотчас же не приедет ночевать в Покровское, то он, Троекуров, с ним навеки рассорится.	1,00
Геду тырганиду Троекуров ханнгуктаран:.	На другой день первый вопрос его был:.	1,00
Эду-гу Андрей Гаврилович?	здесь ли Андрей Гаврилович?	1,00
Энэл эя-да гундерэ, нунгандун дукувунма бурэ, илан оннгачит намувчавэ.	Вместо ответа ему подали письмо, сложенное треугольником.	1,00
Кирила Петрович нгинакирва иргичимниду бурэн дукувунма игдыт тангдан, тыллэн туги дукувчаван:.	Кирила Петрович приказал своему писарю читать его вслух — и услышал следующее:.	1,00
Аяврив государь (андагив), би Покровскоела эденгэв эмэрэ, эделис миндулэ Парамошкава унгнэ тыкуннгичавэ минэ.	Государь мой премилостивый, я до тех пор не намерен ехать в Покровское, пока не вышлете Вы мне псаря Парамошку с повинною.	1,00
Они улгучэмэтчэнгэв нунганнунин — тар миннги дялив, синнгилдук кэлумэлдукис иненмэ би эчэв долчатмудерэ, туги-дэ синдук-вэл иненмэ этэм мангичара, би инектэвун эчэв биси, би гороптыдук дворянин бисим.	а будет моя воля наказать его или помиловать, а я терпеть шутки от Ваших холопьев не намерен, да и от Вас их не стерплю — потому что я не шут, а старинный дворянин.	1,00
